experiment, n, M, L, N, A, tMIP, tMIP_CPP, tDD_VS, int_VS
1, 2, 11, 0.35, 44, 146.0, 21.05, 32.39, 20.14, 7335
2, 2, 11, 0.35, 44, 146.0, 34.71, 43.29, 17.73, 4599
3, 2, 11, 0.35, 44, 146.0, 20.82, 39.24, 782.80, 22541
4, 2, 11, 0.35, 44, 146.0, 27.27, 42.52, 1047.02, 34863
5, 2, 11, 0.35, 44, 146.0, 17.52, 34.86, 19.20, 8973
6, 2, 11, 0.35, 44, 146.0, 28.95, 31.65, 17.16, 6807
7, 2, 11, 0.35, 44, 146.0, 19.92, 31.35, 17.19, 4967
8, 2, 11, 0.35, 44, 146.0, 24.99, 32.92, 904.14, 22609
9, 2, 11, 0.35, 44, 146.0, 19.77, 35.16, 17.97, 5799
10, 2, 11, 0.35, 44, 146.0, 26.61, 47.78, 965.47, 11816
11, 2, 11, 0.35, 44, 146.0, 32.94, 30.92, 17.25, 5219
12, 2, 11, 0.35, 44, 146.0, 40.29, 38.59, 16.00, 5783
13, 2, 11, 0.35, 44, 146.0, 25.55, 32.93, 998.12, 38935
14, 2, 11, 0.35, 44, 146.0, 52.75, 64.30, 874.38, 26686
15, 2, 11, 0.35, 44, 146.0, 29.44, 26.97, 834.08, 66414
16, 2, 11, 0.35, 44, 146.0, 17.33, 33.64, 16.75, 4807
17, 2, 11, 0.35, 44, 146.0, 13.66, 21.84, 15.84, 5759
18, 2, 11, 0.35, 44, 146.0, 16.34, 20.17, 18.61, 6779
19, 2, 11, 0.35, 44, 146.0, 25.83, 47.68, 918.15, 57378
20, 2, 11, 0.35, 44, 146.0, 26.03, 32.26, 1046.35, 462590
21, 2, 11, 0.35, 44, 146.0, 30.32, 26.39, 15.86, 5367
22, 2, 11, 0.35, 44, 146.0, 25.39, 29.89, 15.90, 5519
23, 2, 11, 0.35, 44, 146.0, 11.24, 14.33, 18.04, 5303
24, 2, 11, 0.35, 44, 146.0, 15.93, 25.40, 19.69, 5815
25, 2, 11, 0.35, 44, 146.0, 26.51, 43.38, 731.83, 6303
26, 2, 11, 0.35, 44, 146.0, 28.02, 38.09, 911.50, 51229
27, 2, 11, 0.35, 44, 146.0, 22.02, 38.24, 664.28, 55742
28, 2, 11, 0.35, 44, 146.0, 31.29, 51.87, 762.04, 38761
29, 2, 11, 0.35, 44, 146.0, 19.91, 33.78, 16.23, 5047
30, 2, 11, 0.35, 44, 146.0, 20.39, 35.81, 1289.80, 10717
31, 2, 11, 0.35, 44, 146.0, 23.80, 43.56, 17.97, 5767
32, 2, 11, 0.35, 44, 146.0, 27.68, 53.07, 864.06, 20235
33, 2, 11, 0.35, 44, 146.0, 11.64, 29.90, 1201.86, 6419
34, 2, 11, 0.35, 44, 146.0, 17.35, 32.96, 15.16, 5543
35, 2, 11, 0.35, 44, 146.0, 18.79, 31.40, 20.40, 6231
36, 2, 11, 0.35, 44, 146.0, 22.86, 27.51, 16.08, 5471
37, 2, 11, 0.35, 44, 146.0, 31.10, 49.27, 910.13, 42012
38, 2, 11, 0.35, 44, 146.0, 21.45, 39.10, 16.87, 6492
39, 2, 11, 0.35, 44, 146.0, 23.62, 69.11, 911.12, 38991
40, 2, 11, 0.35, 44, 146.0, 18.86, 24.51, 16.12, 4983
41, 2, 11, 0.35, 44, 146.0, 26.10, 32.03, 16.64, 5807
42, 2, 11, 0.35, 44, 146.0, 23.72, 42.64, 762.86, 24599
43, 2, 11, 0.35, 44, 146.0, 15.02, 36.70, 19.71, 7307
44, 2, 11, 0.35, 44, 146.0, 22.49, 34.08, 917.36, 49134
45, 2, 11, 0.35, 44, 146.0, 30.29, 62.77, 18.36, 6279
