n, instance, PREORDER, color_size, cover_size, int_size, int_cov2col_size, int_col2cov_size, int_cov2col_gsifts, int_col2cov_gsifts, plain_MIP_vars, plain_MIP_constrs, exp_time
20, 1-0, True, 65, 764, 781, 2470, 767, 718, 718, 20, 25, 46.6
20, 1-0, False, 65, 764, 831, 7749, 767, 718, 718, 20, 25, 101.9
20, 1-1, True, 120, 907, 1754, 3145, 1525, 1411, 1411, 20, 26, 55.0
20, 1-1, False, 120, 907, 1915, 11244, 1525, 1411, 1411, 20, 26, 122.8
20, 1-2, True, 97, 868, 1969, 2311, 1969, 1693, 1693, 20, 24, 48.5
20, 1-2, False, 97, 868, 2148, 6371, 1969, 1693, 1693, 20, 24, 99.5
20, 1-3, True, 96, 1008, 1038, 2704, 1003, 914, 914, 20, 25, 63.4
20, 1-3, False, 96, 1008, 2208, 11256, 1003, 914, 914, 20, 25, 138.1
20, 1-4, True, 93, 463, 830, 1101, 805, 769, 769, 20, 25, 35.6
20, 1-4, False, 93, 463, 990, 1679, 805, 769, 769, 20, 25, 71.4
20, 1-5, True, 109, 611, 943, 1736, 935, 902, 902, 20, 25, 43.1
20, 1-5, False, 109, 611, 2068, 5573, 935, 902, 902, 20, 25, 93.0
20, 1-6, True, 70, 315, 573, 3920, 481, 450, 450, 20, 25, 35.8
20, 1-6, False, 70, 315, 1032, 6768, 481, 450, 450, 20, 25, 75.8
20, 1-7, True, 74, 871, 935, 3369, 950, 922, 922, 20, 28, 48.0
20, 1-7, False, 74, 871, 1410, 7706, 950, 922, 922, 20, 28, 100.6
20, 1-8, True, 189, 686, 1964, 1749, 2089, 2019, 2019, 20, 22, 42.6
20, 1-8, False, 189, 686, 3397, 8352, 2089, 2019, 2019, 20, 22, 81.4
20, 1-9, True, 77, 765, 1459, 1690, 1446, 1245, 1245, 20, 29, 32.8
20, 1-9, False, 77, 765, 2120, 5528, 1446, 1245, 1245, 20, 29, 61.6
20, 2-0, True, 56, 579, 959, 1221, 906, 764, 764, 20, 29, 35.5
20, 2-0, False, 56, 579, 1676, 6004, 906, 764, 764, 20, 29, 76.0
20, 2-1, True, 52, 602, 1229, 2149, 787, 653, 653, 20, 29, 43.0
20, 2-1, False, 52, 602, 1261, 9359, 787, 653, 653, 20, 29, 93.3
20, 2-2, True, 65, 418, 436, 559, 434, 378, 378, 20, 29, 38.2
20, 2-2, False, 65, 418, 696, 2339, 434, 378, 378, 20, 29, 77.7
20, 2-3, True, 90, 742, 1749, 2902, 1749, 1634, 1634, 20, 23, 47.1
20, 2-3, False, 90, 742, 2368, 13557, 1749, 1634, 1634, 20, 23, 102.0
20, 2-4, True, 114, 604, 1441, 2647, 1343, 1266, 1266, 20, 28, 43.3
20, 2-4, False, 114, 604, 1627, 5285, 1343, 1266, 1266, 20, 28, 88.5
20, 2-5, True, 86, 716, 672, 1026, 662, 674, 674, 20, 29, 49.0
20, 2-5, False, 86, 716, 910, 1808, 662, 674, 674, 20, 29, 98.0
20, 2-6, True, 146, 487, 828, 872, 362, 347, 347, 20, 22, 36.1
20, 2-6, False, 146, 487, 569, 4505, 362, 347, 347, 20, 22, 79.1
20, 2-7, True, 170, 480, 1495, 3754, 1635, 1606, 1606, 20, 23, 42.3
20, 2-7, False, 170, 480, 3473, 10465, 1635, 1606, 1606, 20, 23, 95.4
20, 2-8, True, 92, 980, 2040, 2098, 2037, 1778, 1778, 20, 26, 53.2
20, 2-8, False, 92, 980, 2242, 6249, 2037, 1778, 1778, 20, 26, 112.2
20, 2-9, True, 72, 863, 1479, 1626, 1479, 1341, 1341, 20, 28, 45.3
20, 2-9, False, 72, 863, 1976, 9097, 1479, 1341, 1341, 20, 28, 94.8
20, 3-0, True, 49, 621, 536, 667, 533, 535, 535, 20, 29, 41.5
20, 3-0, False, 49, 621, 744, 7637, 533, 535, 535, 20, 29, 92.8
20, 3-1, True, 96, 379, 1050, 2370, 975, 847, 847, 20, 24, 26.4
20, 3-1, False, 96, 379, 1629, 14533, 975, 847, 847, 20, 24, 64.0
20, 3-2, True, 84, 470, 815, 1264, 874, 779, 779, 20, 29, 36.5
20, 3-2, False, 84, 470, 933, 6785, 874, 779, 779, 20, 29, 81.2
20, 3-3, True, 77, 763, 1389, 1441, 1308, 1179, 1179, 20, 25, 51.2
20, 3-3, False, 77, 763, 2299, 14517, 1308, 1179, 1179, 20, 25, 124.8
20, 3-4, True, 65, 242, 484, 784, 476, 414, 414, 20, 25, 25.7
20, 3-4, False, 65, 242, 663, 4289, 476, 414, 414, 20, 25, 53.6
20, 3-5, True, 93, 475, 1357, 2962, 1261, 1150, 1150, 20, 24, 41.1
20, 3-5, False, 93, 475, 1504, 6148, 1261, 1150, 1150, 20, 24, 85.1
20, 3-6, True, 161, 709, 1455, 3012, 1291, 1239, 1239, 20, 22, 51.5
20, 3-6, False, 161, 709, 1886, 7170, 1291, 1239, 1239, 20, 22, 109.3
20, 3-7, True, 35, 639, 1054, 1450, 776, 684, 684, 20, 29, 37.5
20, 3-7, False, 35, 639, 1330, 5386, 776, 684, 684, 20, 29, 79.7
20, 3-8, True, 70, 443, 480, 513, 501, 461, 461, 20, 26, 39.0
20, 3-8, False, 70, 443, 595, 2995, 501, 461, 461, 20, 26, 79.3
20, 3-9, True, 68, 562, 1095, 1550, 1077, 974, 974, 20, 27, 33.1
20, 3-9, False, 68, 562, 1511, 13475, 1077, 974, 974, 20, 27, 80.7
20, 4-0, True, 92, 455, 919, 1803, 900, 738, 738, 20, 27, 40.6
20, 4-0, False, 92, 455, 1001, 13290, 900, 738, 738, 20, 27, 95.4
20, 4-1, True, 134, 847, 471, 4410, 470, 459, 459, 20, 22, 52.9
20, 4-1, False, 134, 847, 907, 3689, 470, 459, 459, 20, 22, 109.5
20, 4-2, True, 71, 393, 374, 1043, 344, 322, 322, 20, 26, 29.4
20, 4-2, False, 71, 393, 653, 4980, 344, 322, 322, 20, 26, 65.2
20, 4-3, True, 122, 756, 703, 1175, 679, 699, 699, 20, 22, 46.9
20, 4-3, False, 122, 756, 913, 2184, 679, 699, 699, 20, 22, 99.8
20, 4-4, True, 72, 713, 2249, 4193, 1840, 1591, 1591, 20, 29, 52.7
20, 4-4, False, 72, 713, 2597, 16019, 1840, 1591, 1591, 20, 29, 122.1
20, 4-5, True, 80, 1149, 1889, 2880, 1877, 1826, 1826, 20, 29, 64.8
20, 4-5, False, 80, 1149, 2151, 7108, 1877, 1826, 1826, 20, 29, 131.6
20, 4-6, True, 59, 565, 838, 1122, 801, 754, 754, 20, 25, 39.9
20, 4-6, False, 59, 565, 785, 7656, 801, 754, 754, 20, 25, 88.7
20, 4-7, True, 165, 801, 2292, 2578, 2467, 2073, 2073, 20, 29, 49.5
20, 4-7, False, 165, 801, 2485, 5456, 2467, 2073, 2073, 20, 29, 100.0
20, 4-8, True, 87, 432, 899, 1103, 899, 851, 851, 20, 28, 35.8
20, 4-8, False, 87, 432, 1789, 11823, 899, 851, 851, 20, 28, 77.6
20, 4-9, True, 148, 816, 1915, 3973, 1954, 1667, 1667, 20, 28, 40.0
20, 4-9, False, 148, 816, 4784, 10920, 1954, 1667, 1667, 20, 28, 72.0
