2-0,color_size_nat,48,--none--
2-0,cover_size_nat,4123,--none--
2-0,orig_simpl_nat_obj,5253,--none--
2-0,orig_minAB_nat_obj,4810,--none--
2-0,color_size_rnd,46,--none--
2-0,cover_size_rnd,5653,--none--
2-0,orig_simpl_rnd_obj,7389,--none--
2-0,orig_minAB_rnd_obj,6785,--none--
2-0,color_size_ctl,739,--none--
2-0,cover_size_ctl,819,--none--
2-0,orig_simpl_ctl_obj,465230,--none--
2-0,orig_minAB_ctl_obj,319256,--none--
2-1,color_size_nat,47,--none--
2-1,cover_size_nat,1524,--none--
2-1,orig_simpl_nat_obj,2662,--none--
2-1,orig_minAB_nat_obj,1998,--none--
2-1,color_size_rnd,48,--none--
2-1,cover_size_rnd,3072,--none--
2-1,orig_simpl_rnd_obj,5051,--none--
2-1,orig_minAB_rnd_obj,3615,--none--
